ExperimentName,Subject,Block,Procedure.Block.,Procedure.Trial.,cue_target,ListNum,JOL,Prompt,Response,Correct?,Direction
T_JOL B,54,1,BlockProc2,StudyProc5,Extension - Long,1,20,Extension - ?,cord,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Clue - Game,2,20,Clue - ?,,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Cactus - Plant,3,60,Cactus - ?,plant,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Shoelace - Tie,4,100,Shoelace - ?,shoes,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Detective - Mystery,5,55,Detective - ?,crime,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Adjourn - End,6,0,Adjourn - ?,,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Furry - Dog,7,80,Furry - ?,cat,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Litter - Trash,8, ,Litter - ?,,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Cherry - Red,9,100,Cherry - ?,red,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Scalp - Head,10,100,Scalp - ?,head,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Driver - Car,11,100,Driver - ?,license,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Chop - Cut,12,75,Chop - ?,cut,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Mule - Donkey,13,24,Mule - ?,rat,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Document - Paper,14,100,Document - ?,paper,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Incense - Smell,15,25,Incense - ?,,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Dine - Eat,16,90,Dine - ?,eat,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Shears - Scissors,17,19,Shears - ?,,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Feud - Fight,18,2,Feud - ?,fire,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Chill - Cold,19,80,Chill - ?,cold,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Affection - Love,20,100,Affection - ?,love,,F
T_JOL B,54,1,BlockProc2,StudyProc5,Turn - Flip,21,75,Turn - ?,flip,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Car - Windshield,22,70,Car - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Bad - Villain,23,25,Bad - ?,good,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Bird - Penguin,24,30,Bird - ?,fly,,B
