ExperimentName,Subject,Block,Prompt,ListNum,Procedure[Trial],JOL,Cue-Target,Response,Correct?,Direction
D_JOL A,73,2,Extension - Long,1,StudyProc5,90,Extension - ?,,0,
D_JOL A,73,2,Clue - Game,2,StudyProc5,28,Clue - ?,game,1,
D_JOL A,73,2,Cactus - Plant,3,StudyProc5,70,Cactus - ?,plant,1,
D_JOL A,73,2,Shoelace - Tie,4,StudyProc5,80,Shoelace - ?,tie,1,
D_JOL A,73,2,Detective - Mystery,5,StudyProc5,78,Detective - ?,investigate,0,
D_JOL A,73,2,Adjourn - End,6,StudyProc5,2,Adjourn - ?,,0,
D_JOL A,73,2,Furry - Dog,7,StudyProc5,75,Furry - ?,dog,1,
D_JOL A,73,2,Litter - Trash,8,StudyProc5,98,Litter - ?,trash,1,
D_JOL A,73,2,Cherry - Red,9,StudyProc5,89,Cherry - ?,red,1,
D_JOL A,73,2,Scalp - Head,10,StudyProc5,78,Scalp - ?,head,1,
D_JOL A,73,2,Driver - Car,11,StudyProc5,100,Driver - ?,care,0,
D_JOL A,73,2,Chop - Cut,12,StudyProc5,100,Chop - ?,cut,1,
D_JOL A,73,2,Mule - Donkey,13,StudyProc5,90,Mule - ?,donkey,1,
D_JOL A,73,2,Document - Paper,14,StudyProc5,78,Document - ?,paper,1,
D_JOL A,73,2,Incense - Smell,15,StudyProc5,76,Incense - ?,smell,1,
D_JOL A,73,2,Dine - Eat,16,StudyProc5,95,Dine - ?,wine,0,
D_JOL A,73,2,Shears - Scissors,17,StudyProc5,99,Shears - ?,scissors,1,
D_JOL A,73,2,Feud - Fight,18,StudyProc5,40,Feud - ?,fight,1,
D_JOL A,73,2,Chill - Cold,19,StudyProc5,56,Chill - ?,cool,0,
D_JOL A,73,2,Affection - Love,20,StudyProc5,90,Affection - ?,love,1,
D_JOL A,73,2,Turn - Flip,21,StudyProc5,65,Turn - ?,,0,
D_JOL A,73,2,Car - Windshield,22,StudyProc5,76,Car - ?,,0,
D_JOL A,73,2,Bad - Villain,23,StudyProc5,99,Bad - ?,wrong,0,
D_JOL A,73,2,Bird - Penguin,24,StudyProc5,99,Bird - ?,swan,0,
D_JOL A,73,2,Star - Actress,25,StudyProc5,89,Star - ?,shine,0,
D_JOL A,73,2,Thread - Thimble,26,StudyProc5,34,Thread - ?,thimble,1,
D_JOL A,73,2,Even - Revenge,27,StudyProc5,24,Even - ?,revenge,1,
D_JOL A,73,2,Pop - Balloon,28,StudyProc5,43,Pop - ?,,0,
D_JOL A,73,2,Fruit - Strawberry,29,StudyProc5,13,Fruit - ?,strawberry,1,
D_JOL A,73,2,Best - Favorite,30,StudyProc5,9,Best - ?,favorite,1,
D_JOL A,73,2,Cat - Panther,31,StudyProc5,67,Cat - ?,mouse,0,
D_JOL A,73,2,Glass - Breakable,32,StudyProc5,55,Glass - ?,breakable,1,
D_JOL A,73,2,Dead - Coffin,33,StudyProc5,94,Dead - ?,casket,0,
D_JOL A,73,2,Plane - Aircraft,34,StudyProc5,100,Plane - ?,aircraft,1,
D_JOL A,73,2,Fish - Sardine,35,StudyProc5,48,Fish - ?,water,0,
D_JOL A,73,2,Baseball - League,36,StudyProc5,60,Baseball - ?,league,1,
D_JOL A,73,2,Money - Banker,37,StudyProc5,78,Money - ?,banker,1,
D_JOL A,73,2,Honest - Truthful,38,StudyProc5,89,Honest - ?,truthful,1,
D_JOL A,73,2,Sleep - Nap,39,StudyProc5,99,Sleep - ?,dream,0,
D_JOL A,73,2,Fight - Brawl,40,StudyProc5,88,Fight - ?,feud,0,
D_JOL A,73,2,Razor - Shave,41,StudyProc5,70,Razor - ?,shave,1,
D_JOL A,73,2,Rights - Equal,42,StudyProc5,76,Rights - ?,equal,1,
D_JOL A,73,2,Mason - Jar,43,StudyProc5,56,Mason - ?,jar,1,
D_JOL A,73,2,Candle - Wax,44,StudyProc5,93,Candle - ?,burn,0,
D_JOL A,73,2,Wrist - Bracelet,45,StudyProc5,77,Wrist - ?,,0,
D_JOL A,73,2,Element - Carbon,46,StudyProc5,76,Element - ?,,0,
D_JOL A,73,2,Gone - Away,47,StudyProc5,98,Gone - ?,away,1,
D_JOL A,73,2,Water - Drink,48,StudyProc5,98,Water,wet,0,
D_JOL A,73,2,Earth - Ground,49,StudyProc5,87,Earth - ?,,0,
D_JOL A,73,2,Alone - Lonely,50,StudyProc5,88,Alone - ?,lonely,1,
D_JOL A,73,2,Dry - Wet,51,StudyProc5,90,Dry - ?,,0,
D_JOL A,73,2,Safety - Seatbelt,52,StudyProc5,70,Safety - ?,,0,
D_JOL A,73,2,Truth - Lie,53,StudyProc5,55,Truth - ?,honest,0,
D_JOL A,73,2,Phone - Communication,54,StudyProc5,67,Phone - ?,communication,1,
D_JOL A,73,2,Rod - Reel,55,StudyProc5,10,Rod - ?,fishing,0,
D_JOL A,73,2,Flea - Tick,56,StudyProc5,89,Flea - ?,bug,0,
D_JOL A,73,2,Loud - Noise,57,StudyProc5,48,Loud - ?,noise,1,
D_JOL A,73,2,Own - Have,58,StudyProc5,64,Own - ?,have,1,
D_JOL A,73,2,Tantrum - Temper,59,StudyProc5,80,Tantrum - ?,temper,1,
D_JOL A,73,2,Sun - Tan,60,StudyProc5,75,Sun - ?,ligh,0,
D_JOL A,73,2,Justice - Maroon,61,StudyProc5,3,Justice - ?,league,0,
D_JOL A,73,2,Stretch - Cloth,62,StudyProc5,56,Stretch - ?,yawn,0,
D_JOL A,73,2,Give - Steak,63,StudyProc5,2,Give - ?,taek,0,
D_JOL A,73,2,Maze - Election,64,StudyProc5,2,Maze - ?,election,1,
D_JOL A,73,2,Meat - Obtain,65,StudyProc5,2,Vehicle - ?,,0,
D_JOL A,73,2,Crackle - Able,66,StudyProc5,12,Meat - ?,pop,0,
D_JOL A,73,2,Shell - Snake,67,StudyProc5,65,Crackle - ?,,0,
D_JOL A,73,2,Listen - Fiction,68,StudyProc5,17,Shell - ?,hear,0,
D_JOL A,73,2,Keys - Joke,69,StudyProc5,14,Listen - ?,car,0,
D_JOL A,73,2,Cake - Clothes,70,StudyProc5,5,Keys - ?,,0,
D_JOL A,73,2,Name - Hate,71,StudyProc5,6,Cake - ?,,0,
D_JOL A,73,2,Fuzzy - Bang,72,StudyProc5,12,Name - ?,dog,0,
D_JOL A,73,2,Moat - Clear,73,StudyProc5,1,Fuzzy - ?,clear,1,
D_JOL A,73,2,Lease - Toil,74,StudyProc5,66,Moat - ?,,0,
D_JOL A,73,2,Loan - Sign,75,StudyProc5,56,Lease - ?,borrow,0,
D_JOL A,73,2,Both - Ounce,76,StudyProc5,3,Loan - ?,,0,
D_JOL A,73,2,Temperature - Morning,77,StudyProc5,9,Both - ?,outside,0,
D_JOL A,73,2,Mirror - Children,78,StudyProc5,20,Temperature - ?,child,0,
D_JOL A,73,2,Main - Scar,79,StudyProc5,3,Mirror - ?,important,0,
D_JOL A,73,2,Charm - Vehicle,80,StudyProc5,3,Main - ?,car,0,
D_JOL A,73,1,Delinquent - Bad,1,StudyProc3,72,Delinquent - ?,bad,1,
D_JOL A,73,1,Digestion - Stomach,2,StudyProc3,89,Digestion - ?,stomach,1,
D_JOL A,73,1,Wage - Money,3,StudyProc3,99,Wage - ?,money,1,
D_JOL A,73,1,Chisel - Hammer,4,StudyProc3,70,Chisel - ?,hammer,1,
D_JOL A,73,1,Editor - News,5,StudyProc3,32,Editor - ?,news,1,
D_JOL A,73,1,Hornet - Sting,6,StudyProc3,98,Hornet - ?,sting,1,
D_JOL A,73,1,Bitter - Cold,7,StudyProc3,35,Bitter - ?,cold,1,
D_JOL A,73,1,Root - Plant,8,StudyProc3,70,Root - ?,plant,1,
D_JOL A,73,1,Swan - Bird,9,StudyProc3,75,Swan - ?,bird,1,
D_JOL A,73,1,Paw - Dog,10,StudyProc3,100,Paw - ?,dog,1,
D_JOL A,73,1,Way - Out,11,StudyProc3,12,Way - ?,,0,
D_JOL A,73,1,Hygiene - Clean,12,StudyProc3,100,Hygiene - ?,clean,1,
D_JOL A,73,1,Bridge - Water,13,StudyProc3,100,Bridge - ?,water,1,
D_JOL A,73,1,Geology - Rock,14,StudyProc3,100,Geology - ?,rock,1,
D_JOL A,73,1,Revolution - War,15,StudyProc3,78,Revolution - ?,war,1,
D_JOL A,73,1,Discussion - Talk,16,StudyProc3,86,Discussion - ?,talk,1,
D_JOL A,73,1,Herd - Cow,17,StudyProc3,95,Herd - ?,cow,1,
D_JOL A,73,1,Credit - Card,18,StudyProc3,79,Credit - ?,card,1,
D_JOL A,73,1,Orchid - Flower,19,StudyProc3,90,Orchid - ?,flower,1,
D_JOL A,73,1,Tuna -  Fish,20,StudyProc3,100,Tuna - ?,fish,1,
D_JOL A,73,1,Full - Enough,21,StudyProc3,50,Full - ?,enough,1,
D_JOL A,73,1,Drink - Sip,22,StudyProc3,83,Drink - ?,sip,1,
D_JOL A,73,1,Dark - Cave,23,StudyProc3,78,Dark - ?,cave,1,
D_JOL A,73,1,Take - Seize,24,StudyProc3,64,Take - ?,grab,0,
D_JOL A,73,1,Height - Growth,25,StudyProc3,28,Height - ?,growth,1,
