"subID","mean_cv_rt","mean_oe_rt","pure_RT","switch_altrun_rt","non_altrun_rt","switch_rand_rt","non_rand_rt","global_cost_alt_RT","global_cost_rand_RT","local_switch_cost_alt_RT","local_switch_cost_rand_RT"
"1",726.052631578947,966.538461538462,846.295546558704,1609.07272727273,1607.57142857143,1449.09433962264,1358.01923076923,761.275882012724,511.723684210526,1.50129870129854,91.0751088534107
"2",576.840425531915,690.869565217391,633.854995374653,928.947368421053,883.105263157895,1067.89473684211,946.438596491228,249.250267783242,312.583601116575,45.8421052631579,121.456140350877
"3",597.766666666667,672.304347826087,635.035507246377,1475.19230769231,1507.62962962963,1394.72,1150.54716981132,872.594122383253,515.511662564944,-32.4373219373219,244.172830188679
"4",852.75,748.595744680851,800.672872340426,1768.8813559322,1709.63333333333,1618.47457627119,1470.51724137931,908.960460992908,669.844369038885,59.24802259887,147.957334891876
"5",735.420454545455,701.806451612903,718.613453079179,1207.34615384615,1130.61111111111,1311.38181818182,1197.92592592593,411.997658031932,479.312472846747,76.7350427350427,113.455892255892
"6",940.223404255319,919.414893617021,929.81914893617,1588.38181818182,1274.14035087719,1797.26785714286,1251.0701754386,344.321201941023,321.251026502426,314.241467304625,546.197681704261
"7",745.34375,751.705882352941,748.524816176471,1664.98148148148,1715.05263157895,1707.14035087719,1373.32727272727,966.527815402477,624.802456550802,-50.0711500974658,333.81307814992
"8",840.75,845.873684210526,843.311842105263,1479.58,1458.13559322034,1697.54237288136,1563.5,614.823751115076,720.188157894737,21.444406779661,134.042372881356
"9",517.40625,551.395604395604,534.400927197802,1135.51785714286,1044.42105263158,1043.15254237288,1005.01724137931,510.020125433777,470.616314181508,91.0968045112782,38.1353009935709
"10",812.389473684211,1652.4623655914,1232.4259196378,2150.38596491228,2376.6724137931,2810.80701754386,2344.64912280702,1144.2464941553,1112.22320316921,-226.286448880823,466.157894736842
"11",617.074468085106,701.397727272727,659.236097678917,1160.76363636364,1089.39655172414,1057.44262295082,973.421052631579,430.160454045221,314.184954952662,71.3670846394984,84.0215703192407
"12",606.595744680851,639.978260869565,623.287002775208,1127.69642857143,1068.10344827586,1270.30909090909,1104.91071428571,444.816445500654,481.623711510506,59.5929802955666,165.398376623377
"13",682.073684210526,773.946808510638,728.010246360582,1665.42105263158,1592.74137931034,1639.48333333333,1403.875,864.731132949763,675.864753639418,72.6796733212341,235.608333333333
"14",711.631578947368,902.623655913978,807.127617430673,1475.14545454545,1422.71929824561,1586.37931034483,1412.47272727273,615.591680814941,605.345109842054,52.4261562998406,173.9065830721
"16",1022.67368421053,930.287234042553,976.48045912654,2260.29310344828,2366.38333333333,3245.05084745763,2691.22807017544,1389.90287420679,1714.7476110489,-106.090229885057,553.822777282189
"17",556.505376344086,534.923913043478,545.714644693782,1939.51785714286,1732.03333333333,1896.59615384615,1292.12727272727,1186.31868863955,746.412628033491,207.484523809524,604.468881118881
"19",703.265957446809,787.54347826087,745.404717853839,1289.30769230769,1332.18181818182,1109.28846153846,1042.39622641509,586.777100327979,296.991508561255,-42.8741258741259,66.8922351233671
