ExperimentName,Subject,Group,Block,Trial,STIM,TASK,Switch,Congruent,CVOE,Response,Key,PCVstim.RT
CVOE updated,1,1,1,11,A 71,,,FALSE,CV,p,p,2421
CVOE updated,1,1,1,12,I 66,,,TRUE,CV,p,p,717
CVOE updated,1,1,1,13,S 30,,,FALSE,CV,q,q,566
CVOE updated,1,1,1,14,D 20,,,FALSE,CV,q,q,868
CVOE updated,1,1,1,15,I 31,,,FALSE,CV,p,p,550
CVOE updated,1,1,1,16,P 16,,,FALSE,CV,q,q,731
CVOE updated,1,1,1,17,A 49,,,FALSE,CV,p,p,784
CVOE updated,1,1,1,18,O 64,,,TRUE,CV,p,p,1165
CVOE updated,1,1,1,19,D 02,,,FALSE,CV,q,q,1267
CVOE updated,1,1,1,20,P 81,,,TRUE,CV,q,q,1141
CVOE updated,1,1,1,21,J 58,,,FALSE,CV,q,q,3512
CVOE updated,1,1,1,22,A 22,,,TRUE,CV,p,p,492
CVOE updated,1,1,1,23,J 72,,,FALSE,CV,q,q,599
CVOE updated,1,1,1,24,P 91,,,TRUE,CV,q,q,590
CVOE updated,1,1,1,25,E 19,,,FALSE,CV,p,p,666
CVOE updated,1,1,1,26,I 30,,,TRUE,CV,p,p,710
CVOE updated,1,1,1,27,D 91,,,TRUE,CV,q,q,515
CVOE updated,1,1,1,28,O 48,,,TRUE,CV,p,p,823
CVOE updated,1,1,1,29,A 89,,,FALSE,CV,p,p,545
CVOE updated,1,1,1,30,U 11,,,FALSE,CV,p,p,736
CVOE updated,1,1,1,31,I 76,,,TRUE,CV,p,p,608
CVOE updated,1,1,1,32,U 89,,,FALSE,CV,p,p,978
CVOE updated,1,1,1,33,D 63,,,TRUE,CV,q,q,482
CVOE updated,1,1,1,34,H 70,,,FALSE,CV,q,q,795
CVOE updated,1,1,1,35,D 48,,,FALSE,CV,q,q,585
CVOE updated,1,1,1,36,P 56,,,FALSE,CV,p,q,520
CVOE updated,1,1,1,37,O 77,,,FALSE,CV,p,p,1241
CVOE updated,1,1,1,38,P 42,,,FALSE,CV,q,q,601
CVOE updated,1,1,1,39,H 22,,,FALSE,CV,q,q,808
CVOE updated,1,1,1,40,E 42,,,TRUE,CV,p,p,579
CVOE updated,1,1,1,41,J 28,,,FALSE,CV,q,q,537
CVOE updated,1,1,1,42,E 95,,,FALSE,CV,p,p,698
CVOE updated,1,1,1,43,S 63,,,TRUE,CV,q,q,1279
CVOE updated,1,1,1,44,H 50,,,FALSE,CV,q,q,1077
CVOE updated,1,1,1,45,S 33,,,TRUE,CV,q,q,619
CVOE updated,1,1,1,46,P 57,,,TRUE,CV,q,q,705
